is_division,cost_codes,,,,,,,,,,
DIV. 2 - Site Conditions,29425.M - Forklift Rental,,,,,,,,,,
DIV. 2 - Site Conditions,29430.M - Street Sweeping,,,,,,,,,,
DIV. 2 - Site Conditions,29505.M - Const Materials Testing,,,,,,,,,,
DIV. 2 - Site Conditions,29510.M - Vibration Monitoring,,,,,,,,,,
DIV. 2 - Site Conditions,29515.M - Acoustic Testing,,,,,,,,,,
DIV. 2 - Site Conditions,29520.M - Window Testing,,,,,,,,,,
DIV. 2 - Site Conditions,29525.M - Weather Barrier Testing,,,,,,,,,,
DIV. 2 - Site Conditions,29530.M - Gypcrete Testing,,,,,,,,,,
DIV. 3 - Concrete,30000.S - Concrete,,,,,,,,,,
DIV. 3 - Concrete,33000 - Cast in Place Concrete,,,,,,,,,,
DIV. 3 - Concrete,33543.S - Polished Concrete,,,,,,,,,,
DIV. 3 - Concrete,34100.S - Precast Structural Concrete,,,,,,,,,,
DIV. 3 - Concrete,34500.S - Precast Architectural Concrete,,,,,,,,,,
DIV. 3 - Concrete,35413.S - Gypcrete,,,,,,,,,,
DIV. 3 - Concrete,38000.S - Concrete Cutting and Coring,,,,,,,,,,
DIV. 4 - Masonry,40000.S - Masonry,,,,,,,,,,
DIV. 5 - Metals,51200.M - Structural Steel,,,,,,,,,,
DIV. 5 - Metals,51200.S - Structural Steel,,,,,,,,,,
DIV. 5 - Metals,55000.M - Metal Fabrications,,,,,,,,,,
DIV. 5 - Metals,55000.S - Metal Fabrications,,,,,,,,,,
DIV. 5 - Metals,57210.M - Aluminum Deck and Railings,,,,,,,,,,
DIV. 5 - Metals,57210.S - Aluminum Deck and Railings,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",61000.M - Rough Carpentry Material,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",61010.S - Rough Carpentry Installation,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",61710.M - Manufactured Wall Panels,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",61753.M - Wood Trusses,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",61800.M - Glu-Laminated Construction,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",62000.S - Finish Carpentry Installation,,,,,,,,,,
"DIV. 6 - Wood, Plastics,",62200.M - Millwork,,,,,,,,,,
